"";"municipality";"municipality_id";"state";"population";"account_type";"account";"amount";"i.municipality";"i.municipality_id";"i.state";"i.population";"i.account_type"
"1";"Prefeitura Municipal de Sussuapara - PI";2210938;"PI";6581;"31/12/2018";"1.0.0.0.0.00.00 - Ativo";9433760,92;"Prefeitura Municipal de São José do Piauí - PI";2210201;"PI";6606;"31/12/2018"
"2";"Prefeitura Municipal de São José do Piauí - PI";2210201;"PI";6606;"31/12/2018";"1.0.0.0.0.00.00 - Ativo";9433760,92;"Prefeitura Municipal de Sussuapara - PI";2210938;"PI";6581;"31/12/2018"
"3";"Prefeitura Municipal de Pilões - RN";2410009;"RN";3799;"31/12/2018";"1.0.0.0.0.00.00 - Ativo";23909997,21;"Prefeitura Municipal de Governador Dix-Sept Rosado - RN";2404309;"RN";13103;"31/12/2018"
"4";"Prefeitura Municipal de Guarabira - PB";2506301;"PB";58529;"31/12/2018";"1.0.0.0.0.00.00 - Ativo";63490370,38;"Prefeitura Municipal de Luís Gomes - RN";2407005;"RN";10171;"31/12/2018"
"5";"Prefeitura Municipal de Governador Dix-Sept Rosado - RN";2404309;"RN";13103;"31/12/2018";"1.0.0.0.0.00.00 - Ativo";23909997,21;"Prefeitura Municipal de Pilões - RN";2410009;"RN";3799;"31/12/2018"
"6";"Prefeitura Municipal de Luís Gomes - RN";2407005;"RN";10171;"31/12/2018";"1.0.0.0.0.00.00 - Ativo";63490370,38;"Prefeitura Municipal de Guarabira - PB";2506301;"PB";58529;"31/12/2018"
"7";"Prefeitura Municipal de Sussuapara - PI";2210938;"PI";6581;"31/12/2018";"1.1.0.0.0.00.00 - Ativo Circulante";1275028,57;"Prefeitura Municipal de São José do Piauí - PI";2210201;"PI";6606;"31/12/2018"
"8";"Prefeitura Municipal de São José do Piauí - PI";2210201;"PI";6606;"31/12/2018";"1.1.0.0.0.00.00 - Ativo Circulante";1275028,57;"Prefeitura Municipal de Sussuapara - PI";2210938;"PI";6581;"31/12/2018"
"9";"Prefeitura Municipal de Pilões - RN";2410009;"RN";3799;"31/12/2018";"1.1.0.0.0.00.00 - Ativo Circulante";3629563,14;"Prefeitura Municipal de Governador Dix-Sept Rosado - RN";2404309;"RN";13103;"31/12/2018"
"10";"Prefeitura Municipal de Guarabira - PB";2506301;"PB";58529;"31/12/2018";"1.1.0.0.0.00.00 - Ativo Circulante";63490370,38;"Prefeitura Municipal de Luís Gomes - RN";2407005;"RN";10171;"31/12/2018"
"11";"Prefeitura Municipal de Governador Dix-Sept Rosado - RN";2404309;"RN";13103;"31/12/2018";"1.1.0.0.0.00.00 - Ativo Circulante";3629563,14;"Prefeitura Municipal de Pilões - RN";2410009;"RN";3799;"31/12/2018"
