                                      estimate   std.error  statistic        df      p.value
(Intercept)                       -0.223835620 0.104158357 -2.1489934 5401.6946 3.167923e-02
population                        -0.248540764 0.102892340 -2.4155420 5408.4277 1.574475e-02
gdp                                0.179857932 0.115383142  1.5587886 5408.4277 1.191049e-01
regionS                           -0.141262228 0.048711280 -2.8999900 5373.1327 3.746877e-03
regionN                            0.124168045 0.068999078  1.7995609 5403.7129 7.198576e-02
regionNE                          -0.143524807 0.044206513 -3.2466892 5390.8231 1.174699e-03
regionCW                          -0.405782283 0.070213330 -5.7792770 5403.4437 7.922021e-09
urban_hierarchyZone Center         0.113262770 0.115173465  0.9834103 5408.4277 3.254495e-01
urban_hierarchySubregional Center  0.192452608 0.105951047  1.8164295 5408.3117 6.935985e-02
urban_hierarchyRegional Center    -0.032701398 0.140691302 -0.2324337 5408.4277 8.162100e-01
urban_hierarchyMetropolis         -0.029270450 0.139253706 -0.2101951 5408.4277 8.335233e-01
nb_cities_same_accountant         -0.002470668 0.002896486 -0.8529882  276.7483 3.944035e-01
