                                      estimate   std.error   statistic        df      p.value
(Intercept)                       -0.192761011 0.176235715 -1.09376815 5390.8259 2.741055e-01
log_population                    -0.161869572 0.081320056 -1.99052461 5339.9489 4.658407e-02
log_gdp                           -0.014071379 0.081166431 -0.17336451 5278.8107 8.623716e-01
regionS                           -0.264490886 0.082354458 -3.21161587 5402.7238 1.327645e-03
regionN                            0.216569834 0.112410519  1.92659757 5407.8761 5.408214e-02
regionNE                          -0.215153228 0.082663356 -2.60276425 5408.4277 9.272794e-03
regionCW                          -0.674507807 0.116386327 -5.79542138 5407.7456 7.200271e-09
urban_hierarchyZone Center         0.152651711 0.182658299  0.83572283 5408.4277 4.033478e-01
urban_hierarchySubregional Center  0.112544663 0.180168308  0.62466404 5408.4277 5.322179e-01
urban_hierarchyRegional Center     0.002709409 0.226974813  0.01193705 5408.4277 9.904763e-01
urban_hierarchyMetropolis         -0.083755827 0.226195344 -0.37028095 5408.4277 7.111877e-01
nb_cities_same_accountant         -0.004189553 0.004719968 -0.88762320  269.5917 3.755347e-01
