                                       estimate   std.error    statistic        df      p.value
(Intercept)                       -0.1180381366 0.108493102 -1.087978263 5390.7380 2.766533e-01
log_population                    -0.1083971078 0.024548701 -4.415594418 5408.4277 1.026955e-05
log_gdp_per_capita                -0.0049005535 0.024726439 -0.198190829 5282.1951 8.429034e-01
regionS                           -0.1649799501 0.051281895 -3.217118818 5402.6468 1.302489e-03
regionN                            0.1349487729 0.070217495  1.921868226 5407.8607 5.467483e-02
regionNE                          -0.1354235706 0.051503668 -2.629396645 5408.4277 8.577864e-03
regionCW                          -0.4188777177 0.071236495 -5.880100046 5407.6343 4.345821e-09
urban_hierarchyZone Center         0.0934804956 0.112359430  0.831977304 5408.4277 4.054585e-01
urban_hierarchySubregional Center  0.0681621880 0.110918851  0.614523024 5408.4277 5.388956e-01
urban_hierarchyRegional Center     0.0001503267 0.139079105  0.001080872 5408.4277 9.991376e-01
urban_hierarchyMetropolis         -0.0529208560 0.137998539 -0.383488525 5408.4277 7.013726e-01
nb_cities_same_accountant         -0.0026254032 0.002941511 -0.892535557  269.6011 3.729019e-01
