                                      estimate   std.error  statistic        df      p.value
(Intercept)                       -0.156968753 0.178212430 -0.8807958 5406.8712 3.784675e-01
population                        -0.410024405 0.177264566 -2.3130647 5407.4278 2.075643e-02
gdp_per_capita                     0.260415604 0.203937289  1.2769396 5407.4278 2.016784e-01
regionS                           -0.256951098 0.078622595 -3.2681584 5393.5519 1.089278e-03
regionN                            0.291979589 0.112547802  2.5942718 5407.4278 9.504731e-03
regionNE                          -0.134244302 0.074326896 -1.8061336 5405.2639 7.095308e-02
regionCW                          -0.576799751 0.116218031 -4.9630831 5403.2122 7.151217e-07
urban_hierarchyZone Center         0.198500140 0.190507992  1.0419518 5407.4278 2.974806e-01
urban_hierarchySubregional Center  0.339723601 0.177319271  1.9158865 5407.4278 5.543221e-02
urban_hierarchyRegional Center    -0.036478334 0.230904613 -0.1579801 5407.4278 8.744784e-01
urban_hierarchyMetropolis         -0.040748690 0.229263691 -0.1777372 5407.4278 8.589360e-01
outsourced_accountant             -0.336765499 0.078552078 -4.2871622 5395.8912 1.841253e-05
nb_cities_same_accountant         -0.002783079 0.004562967 -0.6099276  539.4195 5.421666e-01
