                                      estimate   std.error   statistic       df      p.value
(Intercept)                        0.006684568 0.185685842  0.03599934 5395.210 9.712842e-01
log_population                    -0.170468464 0.057855794 -2.94643721 5399.265 3.228320e-03
log_gdp_per_capita                 0.002953565 0.060840762  0.04854582 5280.295 9.612831e-01
regionS                           -0.173797763 0.116893628 -1.48680271 5389.107 1.371254e-01
regionN                            0.366738752 0.123880683  2.96041920 5399.273 3.085571e-03
regionNE                          -0.151663783 0.108083196 -1.40321335 5398.763 1.606107e-01
regionCW                          -0.594608034 0.148865534 -3.99426261 5395.951 6.575922e-05
urban_hierarchyZone Center         0.198303391 0.185681964  1.06797336 5399.429 2.855803e-01
urban_hierarchySubregional Center  0.154264802 0.183223523  0.84194868 5399.429 3.998540e-01
urban_hierarchyRegional Center     0.033041462 0.230140597  0.14357077 5399.429 8.858448e-01
urban_hierarchyMetropolis         -0.070314237 0.229394216 -0.30652140 5399.429 7.592195e-01
outsourced_accountant             -0.358220498 0.079552117 -4.50296628 5394.983 6.842319e-06
nb_cities_same_accountant         -0.002319067 0.004679832 -0.49554493  533.704 6.204195e-01
log_population:regionS             0.007226989 0.079041692  0.09143261 5399.429 9.271522e-01
log_population:regionN             0.187518857 0.110091363  1.70330216 5399.429 8.856908e-02
log_population:regionNE           -0.084386270 0.081192168 -1.03934003 5398.357 2.986932e-01
log_population:regionCW           -0.117542330 0.125359401 -0.93764273 5399.429 3.484700e-01
log_gdp_per_capita:regionS        -0.151324507 0.117238877 -1.29073658 5386.539 1.968504e-01
log_gdp_per_capita:regionN         0.235381488 0.157794379  1.49169755 5399.429 1.358369e-01
log_gdp_per_capita:regionNE       -0.067884214 0.105358541 -0.64431619 5367.553 5.193980e-01
log_gdp_per_capita:regionCW       -0.044267078 0.135071531 -0.32773063 5393.129 7.431281e-01
