                                      estimate   std.error   statistic        df      p.value
(Intercept)                       -0.191532326 0.176222080 -1.08688040 5390.8524 2.771383e-01
log_population                    -0.173486148 0.039573184 -4.38393205 5408.4277 1.187651e-05
log_gdp_per_capita                -0.008559507 0.039787638 -0.21512980 5278.1390 8.296744e-01
regionS                           -0.263519302 0.082350394 -3.19997622 5402.7459 1.382339e-03
regionN                            0.215715332 0.112376165  1.91958260 5407.8510 5.496320e-02
regionNE                          -0.216951733 0.082689687 -2.62368550 5408.4277 8.722837e-03
regionCW                          -0.673743162 0.116381581 -5.78908757 5407.7476 7.475336e-09
urban_hierarchyZone Center         0.152059482 0.182654966  0.83249575 5408.4277 4.051659e-01
urban_hierarchySubregional Center  0.111692404 0.180156115  0.61997565 5408.4277 5.352999e-01
urban_hierarchyRegional Center     0.002446931 0.226976534  0.01078055 5408.4277 9.913989e-01
urban_hierarchyMetropolis         -0.083946255 0.226195923 -0.37112187 5408.4277 7.105613e-01
nb_cities_same_accountant         -0.004219437 0.004720273 -0.89389686  269.5269 3.721746e-01
