                                      estimate   std.error  statistic        df      p.value
(Intercept)                       -0.341621063 0.171950492 -1.9867408 5401.9268 4.700156e-02
population                        -0.441354755 0.178413836 -2.4737698 5408.4277 1.340006e-02
gdp_per_capita                     0.313061657 0.197975500  1.5813151 5408.4277 1.138645e-01
regionS                           -0.226980094 0.078102415 -2.9061853 5372.8167 3.673598e-03
regionN                            0.198078529 0.110374297  1.7946074 5403.7387 7.277215e-02
regionNE                          -0.229276325 0.070905748 -3.2335365 5392.2037 1.230042e-03
regionCW                          -0.653725588 0.114667069 -5.7010752 5403.7860 1.253634e-08
urban_hierarchyZone Center         0.165600962 0.189236171  0.8751021 5408.4277 3.815572e-01
urban_hierarchySubregional Center  0.288796671 0.175596232  1.6446633 5408.4047 1.000974e-01
urban_hierarchyRegional Center    -0.060693515 0.230061091 -0.2638148 5408.4277 7.919327e-01
urban_hierarchyMetropolis         -0.055671276 0.228554787 -0.2435796 5408.4277 8.075657e-01
nb_cities_same_accountant         -0.003942769 0.004644183 -0.8489692  278.9137 3.966265e-01
