                                       estimate  std.error    statistic        df      p.value
(Intercept)                       -0.1187931353 0.10850187 -1.094848743 5390.7097 2.736318e-01
log_population                    -0.1018770429 0.05054501 -2.015570900 5341.7141 4.389485e-02
log_gdp                           -0.0079099463 0.05044374 -0.156807282 5282.8120 8.754027e-01
regionS                           -0.1655769519 0.05128428 -3.228610425 5402.6246 1.251368e-03
regionN                            0.1354760079 0.07023847  1.928800792 5407.8857 5.380787e-02
regionNE                          -0.1343184932 0.05148837 -2.608715305 5408.4277 9.113292e-03
regionCW                          -0.4193498357 0.07123900 -5.886520415 5407.6309 4.181430e-09
urban_hierarchyZone Center         0.0938487250 0.11236169  0.835237764 5408.4277 4.036207e-01
urban_hierarchySubregional Center  0.0686857980 0.11092664  0.619200204 5408.4277 5.358106e-01
urban_hierarchyRegional Center     0.0003156338 0.13907829  0.002269468 5408.4277 9.981893e-01
urban_hierarchyMetropolis         -0.0528270111 0.13799884 -0.382807637 5408.4277 7.018774e-01
nb_cities_same_accountant         -0.0026071117 0.00294133 -0.886371689  269.6617 3.762070e-01
