                                      estimate   std.error   statistic        df      p.value
(Intercept)                       -0.223479623 0.178457498 -1.25228486 5379.6080 2.105205e-01
log_population                    -0.158326985 0.057593670 -2.74903450 5399.9643 5.996985e-03
log_gdp_per_capita                 0.037727695 0.060373714  0.62490267 5094.3832 5.320629e-01
regionS                           -0.149883273 0.116309814 -1.28865543 5378.5492 1.975733e-01
regionN                            0.270359471 0.121887705  2.21810288 5400.4286 2.658926e-02
regionNE                          -0.249803706 0.105801205 -2.36106674 5397.0643 1.825780e-02
regionCW                          -0.683423521 0.147257912 -4.64099695 5394.7028 3.549417e-06
urban_hierarchyZone Center         0.178351791 0.185134392  0.96336391 5400.4286 3.354081e-01
urban_hierarchySubregional Center  0.128624868 0.182693870  0.70404589 5400.4286 4.814346e-01
urban_hierarchyRegional Center     0.012753818 0.229533030  0.05556420 5400.4286 9.556910e-01
urban_hierarchyMetropolis         -0.075466901 0.228722687 -0.32994935 5400.4286 7.414510e-01
nb_cities_same_accountant         -0.003035751 0.004771069 -0.63628310  284.9524 5.251027e-01
log_population:regionS             0.004063802 0.078779940  0.05158422 5400.4286 9.588619e-01
log_population:regionN             0.178430361 0.109871555  1.62399050 5400.4286 1.044362e-01
log_population:regionNE           -0.095490252 0.081084895 -1.17765772 5398.4073 2.389850e-01
log_population:regionCW           -0.127760304 0.125075011 -1.02146946 5400.4286 3.070778e-01
log_gdp_per_capita:regionS        -0.161753496 0.116641562 -1.38675694 5374.1389 1.655734e-01
log_gdp_per_capita:regionN         0.201629852 0.157560268  1.27969986 5400.4286 2.007057e-01
log_gdp_per_capita:regionNE       -0.103333984 0.105065694 -0.98351784 5326.4254 3.253973e-01
log_gdp_per_capita:regionCW       -0.057025370 0.134723063 -0.42327846 5385.0761 6.721090e-01
